original,sanitized
[Hlektrogenesis 391 KWp Pelopio] PCC PCC average line voltage (Vac),hlektrogenesis_391_kwp_pelopio__pcc_average_line_voltage__vac
[Hlektrogenesis 391 KWp Pelopio] PCC PCC average phase voltage (Vac),hlektrogenesis_391_kwp_pelopio__pcc_average_phase_voltage__vac
[Hlektrogenesis 391 KWp Pelopio] PCC PCC current of phase L1 (A),hlektrogenesis_391_kwp_pelopio__pcc_current_of_phase_l1__a
[Hlektrogenesis 391 KWp Pelopio] PCC PCC current of phase L2 (A),hlektrogenesis_391_kwp_pelopio__pcc_current_of_phase_l2__a
[Hlektrogenesis 391 KWp Pelopio] PCC PCC current of phase L3 (A),hlektrogenesis_391_kwp_pelopio__pcc_current_of_phase_l3__a
[Hlektrogenesis 391 KWp Pelopio] PCC PCC frequency (Hz),hlektrogenesis_391_kwp_pelopio__pcc_frequency__hz
[Hlektrogenesis 391 KWp Pelopio] PCC PCC power factor of phase L1 (-),hlektrogenesis_391_kwp_pelopio__pcc_power_factor_of_phase_l1
[Hlektrogenesis 391 KWp Pelopio] PCC PCC power factor of phase L2 (-),hlektrogenesis_391_kwp_pelopio__pcc_power_factor_of_phase_l2
[Hlektrogenesis 391 KWp Pelopio] PCC PCC power factor of phase L3 (-),hlektrogenesis_391_kwp_pelopio__pcc_power_factor_of_phase_l3
[Hlektrogenesis 391 KWp Pelopio] PCC PCC reactive energy export (kVArh),hlektrogenesis_391_kwp_pelopio__pcc_reactive_energy_export__kvarh
[Hlektrogenesis 391 KWp Pelopio] PCC PCC reactive energy import (kVArh),hlektrogenesis_391_kwp_pelopio__pcc_reactive_energy_import__kvarh
[Hlektrogenesis 391 KWp Pelopio] PCC PCC total power factor (-),hlektrogenesis_391_kwp_pelopio__pcc_total_power_factor
[Hlektrogenesis 391 KWp Pelopio] PCC PCC voltage of L1-L2 (Vac),hlektrogenesis_391_kwp_pelopio__pcc_voltage_of_l1_l2__vac
[Hlektrogenesis 391 KWp Pelopio] PCC PCC voltage of L2-L3 (Vac),hlektrogenesis_391_kwp_pelopio__pcc_voltage_of_l2_l3__vac
[Hlektrogenesis 391 KWp Pelopio] PCC PCC voltage of L3-L1 (Vac),hlektrogenesis_391_kwp_pelopio__pcc_voltage_of_l3_l1__vac
[Hlektrogenesis 391 KWp Pelopio] PCC Production active energy export (kWh),hlektrogenesis_391_kwp_pelopio__pcc_production_active_energy_export__kwh
[Hlektrogenesis 391 KWp Pelopio] PCC Production active energy import (kWh),hlektrogenesis_391_kwp_pelopio__pcc_production_active_energy_import__kwh
[Hlektrogenesis 391 KWp Pelopio] PCC Production current of phase L1 (A),hlektrogenesis_391_kwp_pelopio__pcc_production_current_of_phase_l1__a
[Hlektrogenesis 391 KWp Pelopio] PCC Production current of phase L2 (A),hlektrogenesis_391_kwp_pelopio__pcc_production_current_of_phase_l2__a
[Hlektrogenesis 391 KWp Pelopio] PCC Production current of phase L3 (A),hlektrogenesis_391_kwp_pelopio__pcc_production_current_of_phase_l3__a
[Hlektrogenesis 391 KWp Pelopio] PCC Production frequency (Hz),hlektrogenesis_391_kwp_pelopio__pcc_production_frequency__hz
[Hlektrogenesis 391 KWp Pelopio] PCC Production reactive energy export (kVArh),hlektrogenesis_391_kwp_pelopio__pcc_production_reactive_energy_export__kvarh
[Hlektrogenesis 391 KWp Pelopio] PCC Production reactive energy import (kVArh),hlektrogenesis_391_kwp_pelopio__pcc_production_reactive_energy_import__kvarh
[Hlektrogenesis 391 KWp Pelopio] PCC Production total power factor (-),hlektrogenesis_391_kwp_pelopio__pcc_production_total_power_factor
[Hlektrogenesis 391 KWp Pelopio] PCC Production voltage of L1-L2 (Vac),hlektrogenesis_391_kwp_pelopio__pcc_production_voltage_of_l1_l2__vac
[Hlektrogenesis 391 KWp Pelopio] PCC Production voltage of L2-L3 (Vac),hlektrogenesis_391_kwp_pelopio__pcc_production_voltage_of_l2_l3__vac
[Hlektrogenesis 391 KWp Pelopio] PCC Production voltage of L3-L1 (Vac),hlektrogenesis_391_kwp_pelopio__pcc_production_voltage_of_l3_l1__vac
[Hlektrogenesis 391 KWp Pelopio] PCC Total Production active power (kW),hlektrogenesis_391_kwp_pelopio__pcc_total_production_active_power__kw
[Hlektrogenesis 391 KWp Pelopio] PCC Total Production reactive power (kVAr),hlektrogenesis_391_kwp_pelopio__pcc_total_production_reactive_power__kvar
[Hlektrogenesis 391 KWp Pelopio] Weather Station Ambient Temperature (C),hlektrogenesis_391_kwp_pelopio__weather_station_ambient_temperature__c
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Current THD-R of phase L1 (%),hlektrogenesis_450_kwp_pelopio__pcc_current_thd_r_of_phase_l1__pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Current THD-R of phase L2 (%),hlektrogenesis_450_kwp_pelopio__pcc_current_thd_r_of_phase_l2__pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Current THD-R of phase L3 (%),hlektrogenesis_450_kwp_pelopio__pcc_current_thd_r_of_phase_l3__pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Voltage THD-R of phase L1 (%),hlektrogenesis_450_kwp_pelopio__pcc_voltage_thd_r_of_phase_l1__pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Voltage THD-R of phase L2 (%),hlektrogenesis_450_kwp_pelopio__pcc_voltage_thd_r_of_phase_l2__pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Voltage THD-R of phase L3 (%),hlektrogenesis_450_kwp_pelopio__pcc_voltage_thd_r_of_phase_l3__pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC active energy export (kWh),hlektrogenesis_450_kwp_pelopio__pcc_active_energy_export__kwh
[Hlektrogenesis 450 KWp Pelopio] PCC PCC active energy import (kWh),hlektrogenesis_450_kwp_pelopio__pcc_active_energy_import__kwh
[Hlektrogenesis 450 KWp Pelopio] PCC PCC apparent energy (kVAh),hlektrogenesis_450_kwp_pelopio__pcc_apparent_energy__kvah
[Hlektrogenesis 450 KWp Pelopio] PCC PCC average current (A),hlektrogenesis_450_kwp_pelopio__pcc_average_current__a
[Hlektrogenesis 450 KWp Pelopio] PCC PCC average line voltage (Vac),hlektrogenesis_450_kwp_pelopio__pcc_average_line_voltage__vac
[Hlektrogenesis 450 KWp Pelopio] PCC PCC average phase voltage (Vac),hlektrogenesis_450_kwp_pelopio__pcc_average_phase_voltage__vac
[Hlektrogenesis 450 KWp Pelopio] PCC PCC current of phase L1 (A),hlektrogenesis_450_kwp_pelopio__pcc_current_of_phase_l1__a
[Hlektrogenesis 450 KWp Pelopio] PCC PCC current of phase L2 (A),hlektrogenesis_450_kwp_pelopio__pcc_current_of_phase_l2__a
[Hlektrogenesis 450 KWp Pelopio] PCC PCC current of phase L3 (A),hlektrogenesis_450_kwp_pelopio__pcc_current_of_phase_l3__a
[Hlektrogenesis 450 KWp Pelopio] PCC PCC frequency (Hz),hlektrogenesis_450_kwp_pelopio__pcc_frequency__hz
[Hlektrogenesis 450 KWp Pelopio] PCC PCC power factor of phase L1 (-),hlektrogenesis_450_kwp_pelopio__pcc_power_factor_of_phase_l1
[Hlektrogenesis 450 KWp Pelopio] PCC PCC power factor of phase L2 (-),hlektrogenesis_450_kwp_pelopio__pcc_power_factor_of_phase_l2
[Hlektrogenesis 450 KWp Pelopio] PCC PCC power factor of phase L3 (-),hlektrogenesis_450_kwp_pelopio__pcc_power_factor_of_phase_l3
[Hlektrogenesis 450 KWp Pelopio] PCC PCC reactive energy export (kVArh),hlektrogenesis_450_kwp_pelopio__pcc_reactive_energy_export__kvarh
[Hlektrogenesis 450 KWp Pelopio] PCC PCC reactive energy import (kVArh),hlektrogenesis_450_kwp_pelopio__pcc_reactive_energy_import__kvarh
[Hlektrogenesis 450 KWp Pelopio] PCC PCC total power factor (-),hlektrogenesis_450_kwp_pelopio__pcc_total_power_factor
[Hlektrogenesis 450 KWp Pelopio] PCC PCC voltage of L1-L2 (Vac),hlektrogenesis_450_kwp_pelopio__pcc_voltage_of_l1_l2__vac
[Hlektrogenesis 450 KWp Pelopio] PCC PCC voltage of L2-L3 (Vac),hlektrogenesis_450_kwp_pelopio__pcc_voltage_of_l2_l3__vac
[Hlektrogenesis 450 KWp Pelopio] PCC PCC voltage of L3-L1 (Vac),hlektrogenesis_450_kwp_pelopio__pcc_voltage_of_l3_l1__vac
[Hlektrogenesis 450 KWp Pelopio] PCC Production active energy export (kWh),hlektrogenesis_450_kwp_pelopio__pcc_production_active_energy_export__kwh
[Hlektrogenesis 450 KWp Pelopio] PCC Production active energy import (kWh),hlektrogenesis_450_kwp_pelopio__pcc_production_active_energy_import__kwh
[Hlektrogenesis 450 KWp Pelopio] PCC Production current of phase L1 (A),hlektrogenesis_450_kwp_pelopio__pcc_production_current_of_phase_l1__a
[Hlektrogenesis 450 KWp Pelopio] PCC Production current of phase L2 (A),hlektrogenesis_450_kwp_pelopio__pcc_production_current_of_phase_l2__a
[Hlektrogenesis 450 KWp Pelopio] PCC Production current of phase L3 (A),hlektrogenesis_450_kwp_pelopio__pcc_production_current_of_phase_l3__a
[Hlektrogenesis 450 KWp Pelopio] PCC Production frequency (Hz),hlektrogenesis_450_kwp_pelopio__pcc_production_frequency__hz
[Hlektrogenesis 450 KWp Pelopio] PCC Production reactive energy export (kVArh),hlektrogenesis_450_kwp_pelopio__pcc_production_reactive_energy_export__kvarh
[Hlektrogenesis 450 KWp Pelopio] PCC Production reactive energy import (kVArh),hlektrogenesis_450_kwp_pelopio__pcc_production_reactive_energy_import__kvarh
[Hlektrogenesis 450 KWp Pelopio] PCC Production total power factor (-),hlektrogenesis_450_kwp_pelopio__pcc_production_total_power_factor
[Hlektrogenesis 450 KWp Pelopio] PCC Production voltage of L1-L2 (Vac),hlektrogenesis_450_kwp_pelopio__pcc_production_voltage_of_l1_l2__vac
[Hlektrogenesis 450 KWp Pelopio] PCC Production voltage of L2-L3 (Vac),hlektrogenesis_450_kwp_pelopio__pcc_production_voltage_of_l2_l3__vac
[Hlektrogenesis 450 KWp Pelopio] PCC Production voltage of L3-L1 (Vac),hlektrogenesis_450_kwp_pelopio__pcc_production_voltage_of_l3_l1__vac
[Hlektrogenesis 450 KWp Pelopio] PCC Total Production active power (kW),hlektrogenesis_450_kwp_pelopio__pcc_total_production_active_power__kw
[Hlektrogenesis 450 KWp Pelopio] PCC Total Production reactive power (kVAr),hlektrogenesis_450_kwp_pelopio__pcc_total_production_reactive_power__kvar
[Hlektrogenesis 450 KWp Pelopio] Weather Station Ambient Temperature (C),hlektrogenesis_450_kwp_pelopio__weather_station_ambient_temperature__c
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Current THD-R of phase L1 (%),hlektrogenesis_660_kwp_pelopio__pcc_current_thd_r_of_phase_l1__pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Current THD-R of phase L2 (%),hlektrogenesis_660_kwp_pelopio__pcc_current_thd_r_of_phase_l2__pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Current THD-R of phase L3 (%),hlektrogenesis_660_kwp_pelopio__pcc_current_thd_r_of_phase_l3__pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Voltage THD-R of phase L1 (%),hlektrogenesis_660_kwp_pelopio__pcc_voltage_thd_r_of_phase_l1__pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Voltage THD-R of phase L2 (%),hlektrogenesis_660_kwp_pelopio__pcc_voltage_thd_r_of_phase_l2__pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Voltage THD-R of phase L3 (%),hlektrogenesis_660_kwp_pelopio__pcc_voltage_thd_r_of_phase_l3__pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC active energy export (kWh),hlektrogenesis_660_kwp_pelopio__pcc_active_energy_export__kwh
[Hlektrogenesis 660 KWp Pelopio] PCC PCC active energy import (kWh),hlektrogenesis_660_kwp_pelopio__pcc_active_energy_import__kwh
[Hlektrogenesis 660 KWp Pelopio] PCC PCC apparent energy (kVAh),hlektrogenesis_660_kwp_pelopio__pcc_apparent_energy__kvah
[Hlektrogenesis 660 KWp Pelopio] PCC PCC average current (A),hlektrogenesis_660_kwp_pelopio__pcc_average_current__a
[Hlektrogenesis 660 KWp Pelopio] PCC PCC average line voltage (Vac),hlektrogenesis_660_kwp_pelopio__pcc_average_line_voltage__vac
[Hlektrogenesis 660 KWp Pelopio] PCC PCC average phase voltage (Vac),hlektrogenesis_660_kwp_pelopio__pcc_average_phase_voltage__vac
[Hlektrogenesis 660 KWp Pelopio] PCC PCC current of phase L1 (A),hlektrogenesis_660_kwp_pelopio__pcc_current_of_phase_l1__a
[Hlektrogenesis 660 KWp Pelopio] PCC PCC current of phase L2 (A),hlektrogenesis_660_kwp_pelopio__pcc_current_of_phase_l2__a
[Hlektrogenesis 660 KWp Pelopio] PCC PCC current of phase L3 (A),hlektrogenesis_660_kwp_pelopio__pcc_current_of_phase_l3__a
[Hlektrogenesis 660 KWp Pelopio] PCC PCC frequency (Hz),hlektrogenesis_660_kwp_pelopio__pcc_frequency__hz
[Hlektrogenesis 660 KWp Pelopio] PCC PCC power factor of phase L1 (-),hlektrogenesis_660_kwp_pelopio__pcc_power_factor_of_phase_l1
[Hlektrogenesis 660 KWp Pelopio] PCC PCC power factor of phase L2 (-),hlektrogenesis_660_kwp_pelopio__pcc_power_factor_of_phase_l2
[Hlektrogenesis 660 KWp Pelopio] PCC PCC power factor of phase L3 (-),hlektrogenesis_660_kwp_pelopio__pcc_power_factor_of_phase_l3
[Hlektrogenesis 660 KWp Pelopio] PCC PCC reactive energy export (kVArh),hlektrogenesis_660_kwp_pelopio__pcc_reactive_energy_export__kvarh
[Hlektrogenesis 660 KWp Pelopio] PCC PCC reactive energy import (kVArh),hlektrogenesis_660_kwp_pelopio__pcc_reactive_energy_import__kvarh
[Hlektrogenesis 660 KWp Pelopio] PCC PCC total power factor (-),hlektrogenesis_660_kwp_pelopio__pcc_total_power_factor
[Hlektrogenesis 660 KWp Pelopio] PCC PCC voltage of L1-L2 (Vac),hlektrogenesis_660_kwp_pelopio__pcc_voltage_of_l1_l2__vac
[Hlektrogenesis 660 KWp Pelopio] PCC PCC voltage of L2-L3 (Vac),hlektrogenesis_660_kwp_pelopio__pcc_voltage_of_l2_l3__vac
[Hlektrogenesis 660 KWp Pelopio] PCC PCC voltage of L3-L1 (Vac),hlektrogenesis_660_kwp_pelopio__pcc_voltage_of_l3_l1__vac
[Hlektrogenesis 660 KWp Pelopio] PCC Production active energy export (kWh),hlektrogenesis_660_kwp_pelopio__pcc_production_active_energy_export__kwh
[Hlektrogenesis 660 KWp Pelopio] PCC Production active energy import (kWh),hlektrogenesis_660_kwp_pelopio__pcc_production_active_energy_import__kwh
[Hlektrogenesis 660 KWp Pelopio] PCC Production current of phase L1 (A),hlektrogenesis_660_kwp_pelopio__pcc_production_current_of_phase_l1__a
[Hlektrogenesis 660 KWp Pelopio] PCC Production current of phase L2 (A),hlektrogenesis_660_kwp_pelopio__pcc_production_current_of_phase_l2__a
[Hlektrogenesis 660 KWp Pelopio] PCC Production current of phase L3 (A),hlektrogenesis_660_kwp_pelopio__pcc_production_current_of_phase_l3__a
[Hlektrogenesis 660 KWp Pelopio] PCC Production frequency (Hz),hlektrogenesis_660_kwp_pelopio__pcc_production_frequency__hz
[Hlektrogenesis 660 KWp Pelopio] PCC Production reactive energy export (kVArh),hlektrogenesis_660_kwp_pelopio__pcc_production_reactive_energy_export__kvarh
[Hlektrogenesis 660 KWp Pelopio] PCC Production reactive energy import (kVArh),hlektrogenesis_660_kwp_pelopio__pcc_production_reactive_energy_import__kvarh
[Hlektrogenesis 660 KWp Pelopio] PCC Production total power factor (-),hlektrogenesis_660_kwp_pelopio__pcc_production_total_power_factor
[Hlektrogenesis 660 KWp Pelopio] PCC Production voltage of L1-L2 (Vac),hlektrogenesis_660_kwp_pelopio__pcc_production_voltage_of_l1_l2__vac
[Hlektrogenesis 660 KWp Pelopio] PCC Production voltage of L2-L3 (Vac),hlektrogenesis_660_kwp_pelopio__pcc_production_voltage_of_l2_l3__vac
[Hlektrogenesis 660 KWp Pelopio] PCC Production voltage of L3-L1 (Vac),hlektrogenesis_660_kwp_pelopio__pcc_production_voltage_of_l3_l1__vac
[Hlektrogenesis 660 KWp Pelopio] PCC Total Production active power (kW),hlektrogenesis_660_kwp_pelopio__pcc_total_production_active_power__kw
[Hlektrogenesis 660 KWp Pelopio] PCC Total Production reactive power (kVAr),hlektrogenesis_660_kwp_pelopio__pcc_total_production_reactive_power__kvar
[Hlektrogenesis 660 KWp Pelopio] Weather station Ambient Temperature (C),hlektrogenesis_660_kwp_pelopio__weather_station_ambient_temperature__c
[Hlektrogenesis 924 KWp Strefi] PCC PCC Current THD-R of phase L1 (%),hlektrogenesis_924_kwp_strefi__pcc_current_thd_r_of_phase_l1__pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Current THD-R of phase L2 (%),hlektrogenesis_924_kwp_strefi__pcc_current_thd_r_of_phase_l2__pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Current THD-R of phase L3 (%),hlektrogenesis_924_kwp_strefi__pcc_current_thd_r_of_phase_l3__pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Voltage THD-R of phase L1 (%),hlektrogenesis_924_kwp_strefi__pcc_voltage_thd_r_of_phase_l1__pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Voltage THD-R of phase L2 (%),hlektrogenesis_924_kwp_strefi__pcc_voltage_thd_r_of_phase_l2__pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Voltage THD-R of phase L3 (%),hlektrogenesis_924_kwp_strefi__pcc_voltage_thd_r_of_phase_l3__pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC active energy export (kWh),hlektrogenesis_924_kwp_strefi__pcc_active_energy_export__kwh
[Hlektrogenesis 924 KWp Strefi] PCC PCC active energy import (kWh),hlektrogenesis_924_kwp_strefi__pcc_active_energy_import__kwh
[Hlektrogenesis 924 KWp Strefi] PCC PCC apparent energy (kVAh),hlektrogenesis_924_kwp_strefi__pcc_apparent_energy__kvah
[Hlektrogenesis 924 KWp Strefi] PCC PCC average current (A),hlektrogenesis_924_kwp_strefi__pcc_average_current__a
[Hlektrogenesis 924 KWp Strefi] PCC PCC average line voltage (Vac),hlektrogenesis_924_kwp_strefi__pcc_average_line_voltage__vac
[Hlektrogenesis 924 KWp Strefi] PCC PCC average phase voltage (Vac),hlektrogenesis_924_kwp_strefi__pcc_average_phase_voltage__vac
[Hlektrogenesis 924 KWp Strefi] PCC PCC current of phase L1 (A),hlektrogenesis_924_kwp_strefi__pcc_current_of_phase_l1__a
[Hlektrogenesis 924 KWp Strefi] PCC PCC current of phase L2 (A),hlektrogenesis_924_kwp_strefi__pcc_current_of_phase_l2__a
[Hlektrogenesis 924 KWp Strefi] PCC PCC current of phase L3 (A),hlektrogenesis_924_kwp_strefi__pcc_current_of_phase_l3__a
[Hlektrogenesis 924 KWp Strefi] PCC PCC frequency (Hz),hlektrogenesis_924_kwp_strefi__pcc_frequency__hz
[Hlektrogenesis 924 KWp Strefi] PCC PCC power factor of phase L1 (-),hlektrogenesis_924_kwp_strefi__pcc_power_factor_of_phase_l1
[Hlektrogenesis 924 KWp Strefi] PCC PCC power factor of phase L2 (-),hlektrogenesis_924_kwp_strefi__pcc_power_factor_of_phase_l2
[Hlektrogenesis 924 KWp Strefi] PCC PCC power factor of phase L3 (-),hlektrogenesis_924_kwp_strefi__pcc_power_factor_of_phase_l3
[Hlektrogenesis 924 KWp Strefi] PCC PCC reactive energy export (kVArh),hlektrogenesis_924_kwp_strefi__pcc_reactive_energy_export__kvarh
[Hlektrogenesis 924 KWp Strefi] PCC PCC reactive energy import (kVArh),hlektrogenesis_924_kwp_strefi__pcc_reactive_energy_import__kvarh
[Hlektrogenesis 924 KWp Strefi] PCC PCC total power factor (-),hlektrogenesis_924_kwp_strefi__pcc_total_power_factor
[Hlektrogenesis 924 KWp Strefi] PCC PCC voltage of L1-L2 (Vac),hlektrogenesis_924_kwp_strefi__pcc_voltage_of_l1_l2__vac
[Hlektrogenesis 924 KWp Strefi] PCC PCC voltage of L2-L3 (Vac),hlektrogenesis_924_kwp_strefi__pcc_voltage_of_l2_l3__vac
[Hlektrogenesis 924 KWp Strefi] PCC PCC voltage of L3-L1 (Vac),hlektrogenesis_924_kwp_strefi__pcc_voltage_of_l3_l1__vac
[Hlektrogenesis 924 KWp Strefi] PCC Production active energy export (kWh),hlektrogenesis_924_kwp_strefi__pcc_production_active_energy_export__kwh
[Hlektrogenesis 924 KWp Strefi] PCC Production active energy import (kWh),hlektrogenesis_924_kwp_strefi__pcc_production_active_energy_import__kwh
[Hlektrogenesis 924 KWp Strefi] PCC Production current of phase L1 (A),hlektrogenesis_924_kwp_strefi__pcc_production_current_of_phase_l1__a
[Hlektrogenesis 924 KWp Strefi] PCC Production current of phase L2 (A),hlektrogenesis_924_kwp_strefi__pcc_production_current_of_phase_l2__a
[Hlektrogenesis 924 KWp Strefi] PCC Production current of phase L3 (A),hlektrogenesis_924_kwp_strefi__pcc_production_current_of_phase_l3__a
[Hlektrogenesis 924 KWp Strefi] PCC Production frequency (Hz),hlektrogenesis_924_kwp_strefi__pcc_production_frequency__hz
[Hlektrogenesis 924 KWp Strefi] PCC Production reactive energy export (kVArh),hlektrogenesis_924_kwp_strefi__pcc_production_reactive_energy_export__kvarh
[Hlektrogenesis 924 KWp Strefi] PCC Production reactive energy import (kVArh),hlektrogenesis_924_kwp_strefi__pcc_production_reactive_energy_import__kvarh
[Hlektrogenesis 924 KWp Strefi] PCC Production total power factor (-),hlektrogenesis_924_kwp_strefi__pcc_production_total_power_factor
[Hlektrogenesis 924 KWp Strefi] PCC Production voltage of L1-L2 (Vac),hlektrogenesis_924_kwp_strefi__pcc_production_voltage_of_l1_l2__vac
[Hlektrogenesis 924 KWp Strefi] PCC Production voltage of L2-L3 (Vac),hlektrogenesis_924_kwp_strefi__pcc_production_voltage_of_l2_l3__vac
[Hlektrogenesis 924 KWp Strefi] PCC Production voltage of L3-L1 (Vac),hlektrogenesis_924_kwp_strefi__pcc_production_voltage_of_l3_l1__vac
[Hlektrogenesis 924 KWp Strefi] PCC Total Production active power (kW),hlektrogenesis_924_kwp_strefi__pcc_total_production_active_power__kw
[Hlektrogenesis 924 KWp Strefi] PCC Total Production reactive power (kVAr),hlektrogenesis_924_kwp_strefi__pcc_total_production_reactive_power__kvar
[Hlektrogenesis 924 KWp Strefi] Weather station Ambient Temperature (C),hlektrogenesis_924_kwp_strefi__weather_station_ambient_temperature__c
[Hlektrogennisi 500 KWp Livanates] PCC PCC active energy export (kWh),hlektrogennisi_500_kwp_livanates__pcc_active_energy_export__kwh
[Hlektrogennisi 500 KWp Livanates] PCC PCC active energy import (kWh),hlektrogennisi_500_kwp_livanates__pcc_active_energy_import__kwh
[Hlektrogennisi 500 KWp Livanates] PCC PCC apparent energy (kVAh),hlektrogennisi_500_kwp_livanates__pcc_apparent_energy__kvah
[Hlektrogennisi 500 KWp Livanates] PCC PCC current of phase L1 (A),hlektrogennisi_500_kwp_livanates__pcc_current_of_phase_l1__a
[Hlektrogennisi 500 KWp Livanates] PCC PCC current of phase L2 (A),hlektrogennisi_500_kwp_livanates__pcc_current_of_phase_l2__a
[Hlektrogennisi 500 KWp Livanates] PCC PCC current of phase L3 (A),hlektrogennisi_500_kwp_livanates__pcc_current_of_phase_l3__a
[Hlektrogennisi 500 KWp Livanates] PCC PCC frequency (Hz),hlektrogennisi_500_kwp_livanates__pcc_frequency__hz
[Hlektrogennisi 500 KWp Livanates] PCC PCC reactive energy export (kVArh),hlektrogennisi_500_kwp_livanates__pcc_reactive_energy_export__kvarh
[Hlektrogennisi 500 KWp Livanates] PCC PCC reactive energy import (kVArh),hlektrogennisi_500_kwp_livanates__pcc_reactive_energy_import__kvarh
[Hlektrogennisi 500 KWp Livanates] PCC PCC total power factor (-),hlektrogennisi_500_kwp_livanates__pcc_total_power_factor
[Hlektrogennisi 500 KWp Livanates] PCC PCC voltage of L1-L2 (Vac),hlektrogennisi_500_kwp_livanates__pcc_voltage_of_l1_l2__vac
[Hlektrogennisi 500 KWp Livanates] PCC PCC voltage of L2-L3 (Vac),hlektrogennisi_500_kwp_livanates__pcc_voltage_of_l2_l3__vac
[Hlektrogennisi 500 KWp Livanates] PCC PCC voltage of L3-L1 (Vac),hlektrogennisi_500_kwp_livanates__pcc_voltage_of_l3_l1__vac
[Hlektrogennisi 500 KWp Livanates] PCC Production active energy export (kWh),hlektrogennisi_500_kwp_livanates__pcc_production_active_energy_export__kwh
[Hlektrogennisi 500 KWp Livanates] PCC Production active energy import (kWh),hlektrogennisi_500_kwp_livanates__pcc_production_active_energy_import__kwh
[Hlektrogennisi 500 KWp Livanates] PCC Production current of phase L1 (A),hlektrogennisi_500_kwp_livanates__pcc_production_current_of_phase_l1__a
[Hlektrogennisi 500 KWp Livanates] PCC Production current of phase L2 (A),hlektrogennisi_500_kwp_livanates__pcc_production_current_of_phase_l2__a
[Hlektrogennisi 500 KWp Livanates] PCC Production current of phase L3 (A),hlektrogennisi_500_kwp_livanates__pcc_production_current_of_phase_l3__a
[Hlektrogennisi 500 KWp Livanates] PCC Production frequency (Hz),hlektrogennisi_500_kwp_livanates__pcc_production_frequency__hz
[Hlektrogennisi 500 KWp Livanates] PCC Production reactive energy export (kVArh),hlektrogennisi_500_kwp_livanates__pcc_production_reactive_energy_export__kvarh
[Hlektrogennisi 500 KWp Livanates] PCC Production reactive energy import (kVArh),hlektrogennisi_500_kwp_livanates__pcc_production_reactive_energy_import__kvarh
[Hlektrogennisi 500 KWp Livanates] PCC Production total power factor (-),hlektrogennisi_500_kwp_livanates__pcc_production_total_power_factor
[Hlektrogennisi 500 KWp Livanates] PCC Production voltage of L1-L2 (Vac),hlektrogennisi_500_kwp_livanates__pcc_production_voltage_of_l1_l2__vac
[Hlektrogennisi 500 KWp Livanates] PCC Production voltage of L2-L3 (Vac),hlektrogennisi_500_kwp_livanates__pcc_production_voltage_of_l2_l3__vac
[Hlektrogennisi 500 KWp Livanates] PCC Production voltage of L3-L1 (Vac),hlektrogennisi_500_kwp_livanates__pcc_production_voltage_of_l3_l1__vac
[Hlektrogennisi 500 KWp Livanates] PCC Total Production active power (kW),hlektrogennisi_500_kwp_livanates__pcc_total_production_active_power__kw
[Hlektrogennisi 500 KWp Livanates] PCC Total Production reactive power (kVAr),hlektrogennisi_500_kwp_livanates__pcc_total_production_reactive_power__kvar
[Hliatoras 474kWp Andravida] Hliatoras 474kWp Andravida Average Irradiance (W*m^-2),hliatoras_474kwp_andravida__hliatoras_474kwp_andravida_average_irradiance__w_m_2
[Hliatoras 474kWp Andravida] PCC PCC Current THD-R of neutral (%),hliatoras_474kwp_andravida__pcc_current_thd_r_of_neutral__pct
[Hliatoras 474kWp Andravida] PCC PCC Current THD-R of phase L1 (%),hliatoras_474kwp_andravida__pcc_current_thd_r_of_phase_l1__pct
[Hliatoras 474kWp Andravida] PCC PCC Current THD-R of phase L2 (%),hliatoras_474kwp_andravida__pcc_current_thd_r_of_phase_l2__pct
[Hliatoras 474kWp Andravida] PCC PCC Current THD-R of phase L3 (%),hliatoras_474kwp_andravida__pcc_current_thd_r_of_phase_l3__pct
[Hliatoras 474kWp Andravida] PCC PCC active energy export (kWh),hliatoras_474kwp_andravida__pcc_active_energy_export__kwh
[Hliatoras 474kWp Andravida] PCC PCC active energy import (kWh),hliatoras_474kwp_andravida__pcc_active_energy_import__kwh
[Hliatoras 474kWp Andravida] PCC PCC apparent energy (kVAh),hliatoras_474kwp_andravida__pcc_apparent_energy__kvah
